date    close
16-Jul-07     138.10
13-Jul-07     137.73
12-Jul-07     134.07
11-Jul-07     132.39
10-Jul-07     132.35
9-Jul-07      130.33
6-Jul-07      132.30
5-Jul-07      132.75
3-Jul-07      127.17
2-Jul-07      121.26
29-Jun-07     122.04
28-Jun-07     120.56
27-Jun-07     121.89
26-Jun-07     119.65
25-Jun-07     122.34
22-Jun-07     123.00
21-Jun-07     123.90
20-Jun-07     121.55
19-Jun-07     123.66
18-Jun-07     125.09
15-Jun-07     120.50
14-Jun-07     118.75
13-Jun-07     117.50
12-Jun-07     120.38
11-Jun-07     120.19
8-Jun-07      124.49
7-Jun-07      124.07
6-Jun-07      123.64
5-Jun-07      122.67
4-Jun-07      121.33
1-Jun-07      118.40
31-May-07     121.19
30-May-07     118.77
29-May-07     114.35
25-May-07     113.62
24-May-07     110.69
23-May-07     112.89
22-May-07     113.54
21-May-07     111.98
18-May-07     110.02
17-May-07     109.44
16-May-07     107.34
15-May-07     107.52
14-May-07     109.36
11-May-07     108.74
10-May-07     107.34
9-May-07      106.88
8-May-07      105.06
7-May-07      103.92
4-May-07      100.81
3-May-07      100.40
2-May-07      100.39
1-May-07      99.47
30-Apr-07     99.80
27-Apr-07     99.92
26-Apr-07     98.84
25-Apr-07     95.35
24-Apr-07     93.24
23-Apr-07     90
22-Apr-07     89
