date	close
19-Dec-08	1
16-Dec-08	1
09-Dec-08	1
03-Dec-08	1
22-Nov-08	1
07-Nov-08	1
04-Nov-08	1
27-Oct-08	2
20-Oct-08	1
01-Oct-08	1
22-Sep-08	1
03-Sep-08	1
23-Jul-08	1
28-Jun-08	1
04-Jun-08	2
14-May-08	3
09-May-08	1
23-Apr-08	1
09-Apr-08	1
21-Mar-08	1
27-Feb-08	1
22-Feb-08	22
14-Feb-08	1
09-Jan-08	1
16-Dec-07	1
11-Dec-07	1
16-Oct-07	1
11-Oct-07	1
10-Oct-07	6
21-Sep-07	1
04-Sep-07	2
02-Jul-07	1
04-Jun-07	1
29-May-07	1
22-May-07	1
06-May-07	1
23-Apr-07	3
28-Mar-07	1
26-Mar-07	1
23-Feb-07	1
15-Feb-07	2
05-Feb-07	1
27-Jan-07	1
16-Jan-07	4
11-Jan-07	1
09-Jan-07	1
21-Dec-06	1
07-Dec-06	1
22-Nov-06	1
15-Nov-06	4
05-Nov-06	1
25-Oct-06	1
16-Oct-06	1
27-Sep-06	1
18-Sep-06	1
03-Sep-06	1
01-Sep-06	1
27-Aug-06	1
26-Aug-06	1
20-Jul-06	1
10-Jul-06	1
12-Jun-06	1
02-Jun-06	1
29-May-06	1
09-May-06	3
12-Apr-06	3
11-Apr-06	2
10-Apr-06	1
05-Apr-06	1
03-Apr-06	1
02-Apr-06	1
30-Mar-06	1
29-Mar-06	1
08-Mar-06	1
03-Mar-06	1
05-Feb-06	1
03-Feb-06	1
18-Jan-06	1
16-Jan-06	6
13-Jan-06	1
08-Jan-06	1
06-Jan-06	1
20-Dec-05	1
15-Dec-05	1
13-Dec-05	1
11-Dec-05	1
01-Dec-05	5
28-Nov-05	2
22-Nov-05	1
14-Nov-05	1
31-Oct-05	6
17-Oct-05	1
13-Oct-05	1
19-Sep-05	1
31-Aug-05	5
19-Jul-05	2
04-Jul-05	1
28-Jun-05	2
21-Jun-05	1
20-Jun-05	1
17-Jun-05	1
01-Jun-05	1
27-May-05	1
17-May-05	4
10-May-05	1
21-Apr-05	4
16-Apr-05	1
13-Apr-05	1
07-Apr-05	6
01-Apr-05	5
17-Feb-05	1
14-Feb-05	1
09-Feb-05	1
24-Dec-04	1
13-Dec-04	1
09-Dec-04	1
07-Dec-04	1
23-Nov-04	1
28-Oct-04	1
08-Oct-04	1
22-Sep-04	1
21-Sep-04	1
20-Sep-04	52
14-Jul-04	1
10-Jul-04	1
10-Jun-04	1
07-Jun-04	1
24-May-04	1
18-May-04	1
17-Mar-04	1
12-Mar-04	1
06-Jan-04	1
05-Jan-04	2
08-Dec-03	1
21-Nov-03	1
09-Nov-03	1
03-Nov-03	34
23-Oct-03	1
03-Oct-03	1
01-Oct-03	11
29-Sep-03	12
24-Sep-03	1
19-Sep-03	1
13-Aug-03	1
21-Jul-03	1
17-Jul-03	1
15-Jul-03	1
11-Jul-03	2
16-Jun-03	1
26-May-03	1
14-May-03	1
05-May-03	1
28-Mar-03	2
27-Mar-03	1
14-Mar-03	1
04-Feb-03	1
00-Feb-03	1
20-Jan-03	7
13-Jan-03	1
10-Dec-02	1
30-Nov-02	1
13-Nov-02	1
14-Oct-02	1
11-Oct-02	1
08-Oct-02	1
18-Sep-02	3
03-Sep-02	1
30-Aug-02	1
28-Jul-02	1
19-Jul-02	1
10-Jul-02	1
01-Jul-02	1
10-Jun-02	5
13-May-02	1
18-Apr-02	1
28-Mar-02	1
19-Mar-02	7
11-Mar-02	2
09-Mar-02	1
17-Jan-02	1
10-Jan-02	1
09-Jan-02	1
20-Dec-01	1
14-Dec-01	1
04-Dec-01	1
03-Dec-01	1
15-Nov-01	1
30-Oct-01	1
25-Sep-01	1
14-Sep-01	1
28-Jul-01	1
17-Jul-01	1
29-May-01	1
22-May-01	1
18-May-01	1
16-May-01	1
07-May-01	1
23-Apr-01	2
11-Apr-01	1
05-Apr-01	1
20-Mar-01	1
12-Mar-01	1
10-Mar-01	1
02-Mar-01	14
22-Feb-01	2
18-Jan-01	1
21-Dec-00	1
19-Dec-00	1
18-Dec-00	1
12-Dec-00	1
22-Nov-00	1
21-Nov-00	1
20-Nov-00	1
17-Nov-00	1
14-Nov-00	1
12-Nov-00	1
11-Nov-00	1
00-Nov-00	2
25-Oct-00	1
24-Oct-00	1
17-Oct-00	1
03-Oct-00	1
21-Sep-00	1
14-Sep-00	1
13-Sep-00	1
12-Sep-00	1
00-Sep-00	1
30-Aug-00	1
23-Aug-00	1
21-Aug-00	1
12-Jun-00	1
06-Jun-00	1
02-Jun-00	1
00-Jun-00	2
30-May-00	1
26-May-00	1
11-May-00	1
03-Apr-00	1
30-Mar-00	1
27-Mar-00	1
20-Mar-00	1
14-Mar-00	1
22-Feb-00	2
09-Feb-00	1
31-Jan-00	1
24-Jan-00	1
14-Jan-00	1
13-Jan-00	2
12-Jan-00	1
05-Jan-00	1
03-Jan-00	2
