Amount of financial resources allocated to adaptation;;Climate Change
Existence and effectiveness of national and local coordination mechanisms on adaptation;;Climate Change
Number of climate change risk and vulnerability assessments (including national and local levels);;Climate Change
Number of conflicts over access to natural resources;;Climate Change
Proportion of sectoral policies and plans that incorporate analysis of risk and adaptation;;Climate Change
Proportion of staff working on adaptation with technical expertise in adaptation;;Climate Change
Allocation of property rights;;Climate Change
Annual growth (or percentage change) in household income from forest related activities;;Climate Change
Area of forest under sustainable forest management (hectares);;Climate Change
Business practices that promote products from legal and sustainable sources;;Climate Change
Change in Agro-Forestry (Bio-physical);;Climate Change
Change in Forest Area (Bio-physical);;Climate Change
Change in the area of natural forests/indigenous woodlands (Bio-phyiscal);;Climate Change
Employment in forestry related activities (full time equivalents);;Climate Change
Extent to which local rules and norms for harvesting exist and are enforced;;Climate Change
Extent to which rules on access and benefit sharing followed (Governance);;Climate Change
Growing stock per hectare (m3/ha);;Climate Change
Household income from forests/woodlands;;Climate Change
Mechanism for conflict resolution exists (Governance);;Climate Change
Mechanism to share concession/other revenue agreed (Governance);;Climate Change
National and local rules and norms for harvesting exist and are enforced;;Climate Change
Number of forest/woodland dependent jobs (Livelihoods);;Climate Change
Number of illegally issued timber contracts (Governance);;Climate Change
Percentage of communities aware of the activities of forestry services in their area;;Climate Change
Percentage of communities involved in sustainable forest management;;Climate Change
Percentage of communities planning to expand an area under sustainable forest management;;Climate Change
Proportion (percentage) of land covered by forest;;Climate Change
Proportion of total household income from forests/woodlands (Livelihoods);;Climate Change
Rules on access and benefit sharing followed;;Climate Change
Total household income from forests/woodlands (Livelihoods);;Climate Change
Total value of forest/woodland dependent jobs per annum.;;Climate Change
Value of forest/woodland dependent jobs (Livelihoods);;Climate Change
Value of illegally harvested timber confiscated (Governance);;Climate Change
Value of illegally issued timber contracts (Governance);;Climate Change
Value of Non Timber Forested Products;;Climate Change
Value of removals of wood and non wood products (selected currency);;Climate Change
Value of services from forests (selected currency);;Climate Change
Value of timber harvested;;Climate Change
Volume of illegally harvested timber confiscated (Governance);;Climate Change
Volume of timber harvested;;Climate Change
Existence and coverage of early warning for key hazards;;Climate Change
Existence of policy framework for risk reduction;;Climate Change
Number of disaster preparedness plans and contingency plans at all administrative levels and all organisations;;Climate Change
Percentage of school children who are aware of key risks from climate change;;Climate Change
Proportion of social protection programmes incorporating adaptation;;Climate Change
Gender equality: Percentage new jobs occupied by women;;Climate Change
High value job creation: Percentage of jobs created with a salary >40 Percent GDP per capita;;Climate Change
Access to communications: Percentage of remote households with access to mobile communications;;Climate Change
Access to energy: Percentage change in rural electrification;;Climate Change
Air quality: Particulates, NOx and SOx emissions (kg/MWh);;Climate Change
Breakdown of Energy exports;;Climate Change
Breakdown of energy imports and the costs of imports;;Climate Change
Electricity consumption per capita;;Climate Change
Electrification rate (Percentage of population with access to electricity);;Climate Change
Employment sector development: Percentage of total energy sector employment working in renewable energy;;Climate Change
Energy efficiency - GDP per unit of energy use (PPP, US$ per kg of oil equivalent);;Climate Change
Fresh water consumption: m3/MWh;;Climate Change
Greenhouse gas emissions: tCO2e/£m;;Climate Change
Greenhouse gas emissions: tCO2e/MWh;;Climate Change
Household expenditure: cost of electricity delivered £/MWh;;Climate Change
Indoor Air quality: % of dwellings meeting WHO indoor air quality guidelines;;Climate Change
