Afrikaans;;South Africa
Arabic;;U.A.E.
Arabic;;Bahrain
Arabic;;Algeria
Arabic;;Egypt
Arabic;;Iraq
Arabic;;Jordan
Arabic;;Kuwait
Arabic;;Lebanon
Arabic;;Libya
Arabic;;Morocco
Arabic;;Oman
Arabic;;Qatar
Arabic;;Saudi Arabia
Arabic;;Syria
Arabic;;Tunisia
Arabic;;Yemen
Azeri;;Azerbaijan
Belarusian;;Belarus
Bulgarian;;Bulgaria
Bosnian;;Bosnia and Herzegovina
Catalan;;Spain
Czech;;Czech Republic
Welsh;;United Kingdom
Danish;;Denmark
German;;Austria
German;;Switzerland
German;;Germany
German;;Liechtenstein
German;;Luxembourg
Divehi;;Maldives
Greek;;Greece
English;;Australia
English;;Belize
English;;Canada
English;;Caribbean
English;;United Kingdom
English;;Ireland
English;;Jamaica
English;;New Zealand
English;;Republic of the Philippines
English;;Trinidad and Tobago
English;;United States
English;;South Africa
English;;Zimbabwe
Spanish;;Argentina
Spanish;;Bolivia
Spanish;;Chile
Spanish;;Colombia
Spanish;;Costa Rica
Spanish;;Dominican Republic
Spanish;;Ecuador
Spanish;;Castilian
Spanish;;Spain
Spanish;;Guatemala
Spanish;;Honduras
Spanish;;Mexico
Spanish;;Nicaragua
Spanish;;Panama
Spanish;;Peru
Spanish;;Puerto Rico
Spanish;;Paraguay
Spanish;;El Salvador
Spanish;;Uruguay
Spanish;;Venezuela
Estonian;;Estonia
Basque;;Spain
Farsi;;Iran
Finnish;;Finland
Faroese;;Faroe Islands
French;;Belgium
French;;Canada
French;;Switzerland
French;;France
French;;Luxembourg
French;;Principality of Monaco
Galician;;Spain
Gujarati;;India
Hebrew;;Israel
Hindi;;India
Croatian;;Bosnia and Herzegovina
Croatian;;Croatia
Hungarian;;Hungary
Armenian;;Armenia
Indonesian;;Indonesia
Icelandic;;Iceland
Italian;;Switzerland
Italian;;Italy
Japanese;;Japan
Georgian;;Georgia
Kazakh;;Kazakhstan
Kannada;;India
Korean;;Korea
Konkani;;India
Kyrgyz;;Kyrgyzstan
Lithuanian;;Lithuania
Latvian;;Latvia
Maori;;New Zealand
FYRO Macedonian;;Former Yugoslav Republic of Macedonia
Mongolian;;Mongolia
Marathi;;India
Malay;;Brunei Darussalam
Malay;;Malaysia
Maltese;;Malta
Norwegian;;Norway
Dutch;;Netherlands
Northern Sotho;;South Africa
Punjabi;;India
Polish;;Poland
Pashto;;Afghanistan
Portuguese;;Brazil
Portuguese;;Portugal
Quechua;;Bolivia
Quechua;;Ecuador
Quechua;;Peru
Romanian;;Romania
Russian;;Russia
Sanskrit;;India
Sami;;Finland
Slovak;;Slovakia
Slovenian;;Slovenia
Albanian;;Albania
Serbian;;Bosnia and Herzegovina
Serbian;;Serbia and Montenegro
Swedish;;Sweden
Swahili;;Kenya
Syriac;;Syria
Tamil;;India
Telugu;;India
Thai;;Thailand
Tagalog;;Philippines
Tswana;;South Africa
Turkish;;Turkey
Tatar;;Russia
Ukrainian;;Ukraine
Urdu;;Islamic Republic of Pakistan
Uzbek;;Uzbekistan
Vietnamese;;Viet Nam
Xhosa;;South Africa
Chinese;;China
Zulu;;South Africa
